exp_id,modality,model,augmentation,best_val_miou,best_val_pixel_acc,best_epoch,total_epochs_run,duration_min,status
1,RGB,DeepLabV3+,None,0.8621,0.9754,96,100,15.2,OK
2,RGB,DeepLabV3+,Copy-Paste,0.8657,0.9747,88,100,15.1,OK
3,RGB,DeepLabV3+,CutMix,0.8658,0.9756,97,100,14.8,OK
4,RGB,Hybrid SSRN-ViT,None,0.749,0.9552,50,100,202.7,OK
5,RGB,Hybrid SSRN-ViT,Copy-Paste,0.7466,0.951,64,100,201.7,OK
6,RGB,Hybrid SSRN-ViT,CutMix,0.7828,0.9576,76,100,225.2,OK
7,RGB,MambaHSI,None,0.5405,0.8593,92,100,8.7,OK
8,RGB,MambaHSI,Copy-Paste,0.5409,0.8588,79,100,8.6,OK
9,RGB,MambaHSI,CutMix,0.5719,0.8682,93,100,8.7,OK
10,HSI,DeepLabV3+,None,0.3563,0.9505,67,100,22.1,OK
11,HSI,DeepLabV3+,Copy-Paste,0.324,0.8888,55,100,33.6,OK
12,HSI,DeepLabV3+,CutMix,0.4771,0.9643,57,100,32.7,OK
13,HSI,Hybrid SSRN-ViT,None,0.4914,0.9723,86,100,303.3,OK
